Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76054873-1;REINAO Y VALDEBENITO LIMITADA;62280;01/10/2025;01/10/2025 09:36:51;;0;36976;7025;;;44001;;;;;0;;;;0;;;;
2;33;Del Giro;76941313-8;COMERCIAL LE FER SPA;4335;01/10/2025;01/10/2025 09:48:09;;0;73950;14051;;;88001;;;;;0;;;;0;;;;
3;33;Del Giro;77032903-5;COMERCIAL MATI-GOMAS LIMITADA;10706;01/10/2025;01/10/2025 10:10:12;;0;55798;10602;;;66400;;;;;0;;;;0;;;;
4;33;Del Giro;77153872-K;VALENCARS SPA;24526;01/10/2025;01/10/2025 10:29:17;;0;8825;1677;;;10502;;;;;0;;;;0;;;;
5;33;Del Giro;76805475-4;CONFECCIONES ANDRES CACERES BRAVO E.I.R.L.;22714;01/10/2025;01/10/2025 11:14:49;01/10/2025 15:19:24;0;11450;2176;;;13626;;;;;0;;;;0;;;;
6;33;Del Giro;78912510-4;RS GROUP LIMITADA;315203;01/10/2025;01/10/2025 13:44:23;01/10/2025 15:19:24;0;66150;12569;;;78719;;;;;0;;;;0;;;;
7;33;Del Giro;78352290-K;ACEROS RANCAGUA;71753;01/10/2025;01/10/2025 15:13:16;;0;8403;1597;;;10000;;;;;0;;;;0;;;;
8;33;Del Giro;76671160-K;SOCIEDAD COM RODRIGUEZ Y LEIVA LTDA;721975;01/10/2025;01/10/2025 17:14:14;;0;36713;6975;;;63750;;;;20062;0;;;;0;35;20062;0;
9;33;Del Giro;76061338-K;BODEGAJE LOGISTICA Y DISTRIBUCION FERNANDEZ OSSA LTDA;485616;01/10/2025;01/10/2025 18:46:23;;0;31106;5910;;;54006;;;;16990;0;;;;0;35;16990;0;
10;33;Del Giro;5404067-9;CARLOS RENATO ROJAS GONZALEZ;35074;02/10/2025;02/10/2025 09:55:16;;0;31093;5908;;;37001;;;;;0;;;;0;;;;
11;33;Del Giro;77444919-1;FERRETERIA INDUSTRIAL MV SPA;6688;02/10/2025;02/10/2025 10:00:02;;0;16500;3135;;;19635;;;;;0;;;;0;;;;
12;33;Del Giro;78029906-1;REPUESTOS CARS-GOMAS SPA;584;02/10/2025;02/10/2025 10:32:53;;0;44202;8398;;;52600;;;;;0;;;;0;;;;
