Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49737;28/03/2025;28/03/2025 21:37:00;01/04/2025 11:37:28;0;1732672;329208;;;2061880;;;;;0;;;;0;;;;
2;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49738;28/03/2025;28/03/2025 21:37:00;01/04/2025 11:37:28;0;8553;1625;;;10178;;;;;0;;;;0;;;;
3;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49739;28/03/2025;28/03/2025 21:37:00;01/04/2025 11:37:28;0;678568;128928;;;807496;;;;;0;;;;0;;;;
4;33;Del Giro;93113000-5;J RIVEROS S A I C;682621;31/03/2025;31/03/2025 10:06:33;01/04/2025 11:37:27;0;1384703;263094;;;1647797;;;;;0;;;;0;;;;
5;33;Del Giro;76782976-0;LLANTAS Y NEUMÁTICOS HTH CHILE SPA;889;31/03/2025;31/03/2025 13:20:48;01/04/2025 11:37:27;0;2160000;410400;;;2570400;;;;;0;;;;0;;;;
6;33;Del Giro;77444919-1;FERRETERIA INDUSTRIAL MV SPA;5658;31/03/2025;31/03/2025 15:37:31;01/04/2025 11:37:28;0;161426;30671;;;192097;;;;;0;;;;0;;;;
7;33;Del Giro;96803460-K;SHERWIN WILLIAMS CHILE S A;2721581;01/04/2025;01/04/2025 10:29:18;;0;22500;4275;;;26775;;;;;0;;;;0;;;;
8;33;Del Giro;77153872-K;VALENCARS SPA;21502;01/04/2025;01/04/2025 11:39:09;;0;77310;14689;;;91999;;;;;0;;;;0;;;;
9;33;Del Giro;85512100-K;ELECTRICIDAD M. LOMUSCIO E HIJOS LTDA;763827;01/04/2025;01/04/2025 12:07:11;;0;123200;23408;;;146608;;;;;0;;;;0;;;;
10;33;Del Giro;85512100-K;ELECTRICIDAD M. LOMUSCIO E HIJOS LTDA;763828;01/04/2025;01/04/2025 12:08:03;;0;6000;1140;;;7140;;;;;0;;;;0;;;;
11;33;Del Giro;76967108-0;AUDITORA Y CONSULTORA TYT SPA;305;01/04/2025;01/04/2025 12:09:49;01/04/2025 12:51:57;0;1000000;190000;;;1190000;;;;;0;;;;0;;;;
